symbol,strategy,score,reasons,time,interval,entry_price,SL,TP,result,open,high,low,close,volume,rsi,macd,macd_signal,macd_diff,adx,ema_short,ema_long,bb_width,volatility,atr,cci,parabolic_sar,vwap,wma,trix,bb_upper,bb_middle,bb_lower,ADX
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,15/05/2024 3:00,1d,66206.5,62125.19906,74369.10189,SL Hit,61577.49,66444.16,61319.47,66206.5,43559.74719,69.49346748,-440.1359105,-843.3568715,403.2209609,19.10952394,62974.01468,63114.97139,7706.699688,1626.885163,2825.933038,204.242858,58040.3087,55088.94688,62568.12857,-0.212760153,66460.15984,62606.81,58753.46016,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,20/05/2024 3:00,1d,71446.62,67636.82196,79066.21607,SL Hit,66274,71515.56,66060.31,71446.62,50816.7011,79.37147937,1021.504117,51.63042975,969.8736875,21.57829428,66871.15529,64584.17539,8523.568524,3303.173088,2760.305538,138.6023632,60946.11756,55335.00885,65463.10771,-0.01691124,71640.79226,67379.008,63117.22374,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,15/07/2024 3:00,1d,64724.14,60695.00477,72782.41046,Still Open,60797.91,64900,60632.3,64724.14,38690.9782,80.62309752,-970.258225,-1746.070268,775.8120432,37.00452605,60291.84112,60702.20632,10601.04499,2517.565889,2467.431292,204.9268606,53644.6252,56790.07815,59091.31762,-0.433390594,65291.53449,59991.012,54690.48951,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,16/07/2024 3:00,1d,65043.99,60860.16161,73411.64679,Still Open,64724.06,65388.97,62373.24,65043.99,42530.52915,81.36990701,-481.7877624,-1493.213767,1011.426005,35.04644698,61479.87834,61036.18968,11558.95231,3215.614311,2506.595486,147.031176,54094.84019,56829.19474,59929.9799,-0.382316929,67311.30816,61531.832,55752.35584,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,19/07/2024 3:00,1d,66660,62452.15707,75075.68587,Still Open,63987.92,67386,63300.67,66660,35634.72739,80.02898114,467.6046328,-681.7874684,1149.392101,31.06557264,63611.93227,61878.40776,3853.520681,3531.071607,2564.498787,91.48003209,56516.79139,56909.36488,62170.08933,-0.202613236,66827.56834,64900.808,62974.04766,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,23/08/2024 3:00,1d,64037.24,60030.43518,72050.84964,Still Open,60375.83,64955,60342.14,64037.24,38118.07089,72.22398182,-284.6733908,-846.7334569,562.0600661,22.76711754,60842.39991,60615.50772,7117.413664,1824.714204,2962.37289,202.6551436,54288.99849,57331.98612,60096.39267,-0.221908333,64362.98883,60804.282,57245.57517,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,18/09/2024 3:00,1d,61759.99,58193.31265,68893.34469,Still Open,60313.99,61786.24,59174.8,61759.99,36087.02469,70.86059412,138.7403113,-436.5299054,575.2702167,16.66942023,59669.03107,58912.44075,4756.652612,1578.272998,2396.904346,118.088398,54316.148,57403.00232,58911.16886,-0.123702654,62260.92631,59882.6,57504.27369,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,19/09/2024 3:00,1d,62947.99,59445.21908,69953.53184,Still Open,61759.98,63850,61555,62947.99,34332.52608,75.50935748,437.7674616,-261.670432,699.4378936,16.75787244,60488.7708,59222.86761,6860.579187,1844.307859,2389.625464,180.8354882,54913.75536,57420.48105,59597.25238,-0.083057715,63903.88159,60473.592,57043.30241,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,26/09/2024 3:00,1d,65173.99,62068.76332,71384.44337,Still Open,63152.01,65839,62670,65173.99,28373.30593,74.04636706,1440.241427,902.1620331,538.079394,20.38169246,63525.64518,61184.34819,2956.152141,1316.348654,2229.963723,143.4049142,60851.86936,57502.76203,63012.78819,0.211104735,65379.56607,63901.49,62423.41393,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,15/10/2024 3:00,1d,67074.14,63772.12273,73678.17454,Still Open,66084,67950,64800.01,67074.14,43683.95423,79.49970697,832.5375086,474.2021873,358.3353214,14.8030205,64203.9174,62711.71656,7419.37243,2120.174623,2189.711864,185.0027901,59097.08,57707.08182,63242.62705,0.117319038,68064.56022,64354.874,60645.18778,
