time,open,high,low,close,volume,rsi,macd,macd_signal,macd_diff,adx,ema_short,ema_long,bb_width,volatility,atr,cci,parabolic_sar,vwap,wma,trix,bb_upper,bb_middle,bb_lower
2024-10-25 00:00:00,68196.0,68213.99,68196.0,68213.14,3.45234,54.80105747013961,14.070668125117663,16.09869389758804,-2.028025772470375,12.368656355916547,68206.97280684403,68191.54554211025,29.76963219291065,20.59531542127455,27.23802258419313,-28.55104546379497,68248.44,59692.62467331886,68212.544,0.0036708666692213225,68213.70481609645,68198.81999999999,68183.93518390354
2024-10-25 00:01:00,68213.14,68241.48,68213.14,68241.48,7.17401,67.00593294529278,15.948058361042058,16.068566790278844,-0.12050842923678573,12.44443311076868,68215.59960513301,68195.38665425562,73.65274605253944,22.038702007792796,27.316735256750512,73.6775051518506,68246.9112,59692.630582011916,68215.77771428571,0.0037018416177774342,68244.56637302626,68207.73999999999,68170.91362697372
2024-10-25 00:02:00,68241.48,68278.82,68241.47,68278.81,5.93622,76.87579813061504,20.215095630090218,16.89787255824112,3.3172230718490994,13.430519335418355,68231.40220384976,68201.8038346975,129.95416678741458,27.840654038569713,28.03339702412589,159.599138577823,68172.0,59692.63549257373,68223.74619047619,0.0038746900841632403,68289.13308339371,68224.156,68159.1789166063
2024-10-25 00:03:00,68278.82,68285.65,68270.44,68270.45,7.90188,71.15556446496423,22.660949950513896,18.050488036695675,4.61046191381822,14.495485180524154,68241.16415288733,68207.08430895154,127.66287489217939,32.02447294318855,27.1174400938306,130.96990962648366,68174.1364,59692.64202279634,68230.20123809522,0.004103610327868181,68303.80743744608,68239.976,68176.1445625539
2024-10-25 00:04:00,68270.44,68276.0,68228.0,68235.1,19.09289,51.65324947550988,21.499030116654467,18.740196452687435,2.7588336639670317,14.022839548225619,68239.6481146655,68209.23936210912,95.9531603747455,32.17644942015256,28.60905151569984,53.849038715393085,68178.596944,59692.657736357774,68231.46247619047,0.0042509491281841096,68295.77258018737,68247.796,68199.81941981263
2024-10-25 00:05:00,68235.1,68240.0,68235.1,68240.0,2.07886,53.76125267764882,20.734574063157197,19.139071974781388,1.5955020883758095,13.58395431823412,68239.73608599912,68211.6055650238,71.38935871690046,32.06564058578646,26.915547836006578,27.391536192782876,68182.87906624,59692.65944824975,68233.11885714285,0.004343033933852422,68288.86267935846,68253.168,68217.47332064155
2024-10-25 00:06:00,68240.0,68279.22,68239.99,68250.0,13.12714,58.2222706664106,20.697070613110554,19.45067170244722,1.2463989106633342,14.136706073357715,68242.30206449934,68214.55898309889,68.15386047796346,31.091866309600444,27.795151562005817,59.47452074347494,68186.9899035904,59692.6702707699,68235.9561904762,0.004414304503910229,68288.94893023898,68254.872,68220.79506976102
2024-10-25 00:07:00,68250.01,68355.0,68250.0,68354.99,26.10546,81.14303012916112,28.80709417090111,21.321956196138,7.485137974763109,15.959023038543181,68270.4740483745,68225.36136901437,176.55778945822385,47.49028751619049,33.309783593291115,170.6221090501262,68190.93630744678,59692.69205709289,68252.79209523811,0.004760679466406043,68358.38689472912,68270.10800000001,68181.8291052709
2024-10-25 00:08:00,68355.0,68399.5,68334.0,68383.56,28.11923,84.00805843227992,37.11190357749001,24.479945672408405,12.631957905081606,18.20465036803528,68298.74553628087,68237.5304944748,253.3229969087988,59.72571186971892,35.609084765198894,191.62913527681698,68200.78012899998,59692.71560128411,68272.19933333334,0.005348947434560833,68419.39149845441,68292.73000000001,68166.06850154561
2024-10-25 00:09:00,68383.56,68451.41,68380.0,68440.05,46.44369,88.24550019831305,47.70191774413979,29.124340086754685,18.577577657385106,20.811733956427073,68334.07165221065,68253.10891797674,310.0192716005258,75.54947523518783,38.16629299625637,164.9486260787402,68216.67771867997,59692.754741003264,68297.62857142858,0.006225263012267988,68488.72963580026,68333.72,68178.71036419974
2024-10-25 00:10:00,68440.04,68479.15,68418.0,68479.14,19.58008,90.3653849760219,58.57361639046576,35.0141953474969,23.559421042968857,23.472069000709972,68370.33873915799,68270.49592428622,314.7617972701846,90.5275482162993,39.80798635366621,139.01990811638726,68240.15094681198,59692.7713154539,68326.38495238095,0.007356572687939373,68538.92889863509,68381.548,68224.1671013649
2024-10-25 00:11:00,68479.15,68500.0,68459.9,68499.99,68.68472,91.36244347690301,68.08707126845547,41.628770531688616,26.45830073676686,26.111725384059266,68402.75155436849,68288.14931472574,220.44003345543751,102.56237527810444,39.828844471261895,116.1583896451167,68268.83083319454,59692.82959423733,68355.23314285715,0.008655282308811333,68541.76601672772,68431.546,68321.32598327228
2024-10-25 00:12:00,68499.99,68538.0,68481.14,68520.15,83.5249,92.28841120863443,76.37291687066318,48.57759979948354,27.79531707117964,28.845111178834635,68432.10116577637,68305.99552128531,193.65823644388,113.53303685804492,41.04535558045752,105.20425605263154,68301.19451654732,59692.90062605451,68383.88114285714,0.010050968742313078,68561.40711822195,68464.57800000001,68367.74888177807
2024-10-25 00:13:00,68520.15,68555.0,68446.23,68469.99,38.88008,69.91143450316989,77.99296209323802,54.46067225823444,23.53228983500358,30.32751459547791,68441.57337433228,68318.61048118645,108.68217310548062,112.13795379088322,45.8828301818537,72.0471975848001,68339.08339389974,59692.93350244379,68402.70971428572,0.011288181915669396,68536.20508655274,68481.864,68427.52291344726
2024-10-25 00:14:00,68469.99,68531.51,68469.99,68525.99,16.09256,77.28886112397966,82.84065607567027,60.136669021721616,22.70398705394865,31.704032053789525,68462.6775307492,68334.56275186442,87.86805872042896,105.82186728088482,46.99977088314911,75.95912493320762,68377.94838299778,59692.9471968093,68426.39552380952,0.01250418813546584,68542.98602936021,68499.052,68455.11797063978
