time,open,high,low,close,volume,rsi,macd,macd_signal,macd_diff,adx,ema_short,ema_long,bb_width,volatility,atr,cci,parabolic_sar,vwap,wma,trix,bb_upper,bb_middle,bb_lower,ADX
2025-05-27 00:00:00,109606.5,109646.45,109595.38,109630.16,8.1324,88.01516440531017,59.3113513909193,48.283014570807794,11.028336820111504,48.56501618790048,109551.22420015102,109462.85440716108,191.5086784797313,67.63271157835985,50.08114736033891,157.6920079077546,109391.46870399998,71962.07784110839,109518.89771428572,0.0062321281746011,109656.34033923988,109560.586,109464.83166076014,
2025-05-27 00:01:00,109630.16,109630.16,109516.79,109516.8,14.94367,48.62364455827619,54.79507112893043,49.585425882432325,5.209645246498106,47.76836958541872,109542.61815011324,109467.00406814869,191.2881575347856,59.679246382714574,54.60177969174398,40.88044220036254,109406.76758175998,71962.11124823084,109523.51304761904,0.0063822404702753,109656.2900787674,109560.646,109465.0019212326,
2025-05-27 00:02:00,109516.8,109516.8,109500.0,109500.0,1.39852,45.03885806753328,49.29205871706654,49.52675244935917,-0.2346937322926336,46.64946663229796,109531.96361258494,109469.54221675264,207.88052117748884,48.4690647269401,51.90165257090533,-52.54717901370353,109421.14852685438,71962.11437327195,109524.8221904762,0.0063876456740559,109660.23826058874,109556.298,109452.35773941124,
2025-05-27 00:03:00,109500.01,109500.01,109430.65,109430.65,6.36672,32.990596570224454,38.88665516112815,47.398732991712976,-8.512077830584829,44.2268314072636,109506.63520943873,109466.55050777168,291.7326963589876,57.08796109643893,53.14867738726928,-127.95181619232154,109646.45,71962.12857363727,109515.91076190476,0.0061596043545029,109682.6883481795,109536.822,109390.9556518205,
2025-05-27 00:04:00,109430.66,109450.9,109409.09,109409.09,3.84814,29.99696802347013,28.57123465251061,43.6332333238725,-15.061998671361891,41.60042112586756,109482.24890707902,109462.13046871232,311.1914545559266,67.20485931428848,52.33877185960703,-144.46088436889394,109642.134,71962.13715160472,109504.17980952378,0.005734489349671,109652.93572727796,109497.34,109341.74427272203,
2025-05-27 00:05:00,109409.1,109409.1,109391.3,109391.31,2.15609,27.525227353136643,18.745406793575967,38.6556680178132,-19.91026122423723,38.85517704106178,109459.51418030928,109456.68274034985,199.63071454141755,77.9789006995077,49.87171672677817,-129.0351380473054,109632.81223999998,71962.14195550524,109489.86028571428,0.0051527170258521,109549.3853572707,109449.57,109349.75464272928,
2025-05-27 00:06:00,109391.31,109391.31,109363.63,109385.15,5.80547,26.61351470800963,10.34208973267232,32.992952360785026,-22.650862628112705,36.315493550306,109440.92313523196,109451.1802218614,166.0612025373266,86.44417687367876,48.28659410343637,-105.6240706429966,109618.3215056,71962.15488831293,109475.01,0.0044699693359679,109506.27060126864,109423.24,109340.20939873131,
2025-05-27 00:07:00,109385.16,109409.1,109363.64,109363.64,3.68578,23.369928851839774,1.924538306237082,26.77926954987544,-24.85473124363836,33.79275083114411,109421.60235142396,109444.44635864127,90.4893967488606,94.4737465223956,48.08469452461994,-83.47529688187286,109597.946185152,71962.16309437697,109457.60876190476,0.003701815487323,109441.21269837442,109395.968,109350.72330162556,
2025-05-27 00:08:00,109363.65,109409.1,109347.82,109373.36,11.33501,28.12039212136408,-3.91695683762373,20.64002427237561,-24.556981109999334,31.584117779499337,109409.54176356798,109438.97817720736,62.24352518859087,97.64124189393152,49.02721634428986,-73.32063152111533,109579.20089033982,71962.18833731282,109442.7436190476,0.0029195897710405,109415.6317625943,109384.51,109353.38823740571,
2025-05-27 00:09:00,109373.36,109405.34,109363.72,109399.42,5.83344,40.072678610797205,-6.370128738504718,15.237993670199543,-21.60812240870426,29.53324423154348,109407.011322676,109435.93524049912,50.91593239735812,84.32714956685564,48.49812946255454,-51.841578356188144,109556.06280130584,71962.20133735209,109432.45399999998,0.0022023622286252,109408.03396619868,109382.576,109357.11803380132,
